%auto-ignore
#2D Feldman-Cousin p-values (statistical only) for AFB and FH for the decay B+->K+mumu,
# obtained from the measurements described in LHCb-PAPER-2014-007

#The q2 range for these values is 20.00 < q2 < 21.00 GeV^{2}/c^{4}

# AFB     FH   p-value
-0.0765  0.155  0.03
-0.0765  0.165  0.01
-0.0765  0.175  0.01
-0.0765  0.185  0.03
-0.0765  0.195  0.01
-0.0765  0.205  0.03
-0.0765  0.215  0.01
-0.0765  0.225  0.03
-0.0765  0.235  0.01
-0.0765  0.245  0.02
-0.0765  0.255  0.02
-0.0765  0.265  0.01
-0.0765  0.275  0.0
-0.0765  0.285  0.0
-0.0765  0.295  0.01
-0.0765  0.305  0.01
-0.0765  0.315  0.01
-0.0765  0.325  0.0
-0.0765  0.335  0.0
-0.0765  0.345  0.0
-0.0765  0.355  0.01
-0.0695  0.145  0.05
-0.0695  0.155  0.04
-0.0695  0.165  0.03
-0.0695  0.175  0.03
-0.0695  0.185  0.04
-0.0695  0.195  0.03
-0.0695  0.205  0.03
-0.0695  0.215  0.03
-0.0695  0.225  0.03
-0.0695  0.235  0.01
-0.0695  0.245  0.03
-0.0695  0.255  0.03
-0.0695  0.265  0.0
-0.0695  0.275  0.01
-0.0695  0.295  0.01
-0.0695  0.305  0.01
-0.0695  0.315  0.0
-0.0695  0.325  0.01
-0.0695  0.335  0.01
-0.0695  0.345  0.0
-0.0695  0.365  0.02
-0.0695  0.375  0.01
-0.0695  0.385  0.0
-0.0695  0.395  0.01
-0.0625  0.135  0.05
-0.0625  0.145  0.05
-0.0625  0.155  0.05
-0.0625  0.165  0.01
-0.0625  0.175  0.03
-0.0625  0.185  0.04
-0.0625  0.195  0.03
-0.0625  0.205  0.01
-0.0625  0.215  0.03
-0.0625  0.225  0.03
-0.0625  0.235  0.02
-0.0625  0.245  0.04
-0.0625  0.255  0.02
-0.0625  0.265  0.02
-0.0625  0.275  0.03
-0.0625  0.285  0.01
-0.0625  0.295  0.01
-0.0625  0.305  0.0
-0.0625  0.315  0.01
-0.0625  0.335  0.02
-0.0625  0.345  0.0
-0.0625  0.355  0.01
-0.0625  0.365  0.0
-0.0555  0.115  0.06
-0.0555  0.125  0.06
-0.0555  0.135  0.08
-0.0555  0.145  0.03
-0.0555  0.155  0.06
-0.0555  0.165  0.04
-0.0555  0.175  0.04
-0.0555  0.185  0.04
-0.0555  0.195  0.03
-0.0555  0.205  0.04
-0.0555  0.215  0.03
-0.0555  0.225  0.02
-0.0555  0.235  0.04
-0.0555  0.245  0.01
-0.0555  0.255  0.03
-0.0555  0.265  0.02
-0.0555  0.275  0.04
-0.0555  0.285  0.03
-0.0555  0.295  0.0
-0.0555  0.305  0.02
-0.0555  0.315  0.0
-0.0555  0.325  0.01
-0.0555  0.335  0.01
-0.0555  0.355  0.01
-0.0555  0.365  0.0
-0.0555  0.385  0.01
-0.0555  0.395  0.01
-0.0485  0.105  0.14
-0.0485  0.115  0.13
-0.0485  0.125  0.09
-0.0485  0.135  0.06
-0.0485  0.145  0.09
-0.0485  0.155  0.04
-0.0485  0.165  0.05
-0.0485  0.175  0.05
-0.0485  0.185  0.03
-0.0485  0.195  0.03
-0.0485  0.205  0.05
-0.0485  0.215  0.06
-0.0485  0.225  0.04
-0.0485  0.235  0.05
-0.0485  0.245  0.03
-0.0485  0.255  0.04
-0.0485  0.265  0.02
-0.0485  0.275  0.04
-0.0485  0.285  0.01
-0.0485  0.295  0.03
-0.0485  0.305  0.01
-0.0485  0.315  0.01
-0.0485  0.325  0.0
-0.0485  0.335  0.01
-0.0485  0.345  0.02
-0.0485  0.355  0.01
-0.0485  0.365  0.01
-0.0485  0.375  0.01
-0.0485  0.385  0.0
-0.0485  0.395  0.01
-0.0415  0.085  0.11
-0.0415  0.095  0.14
-0.0415  0.105  0.12
-0.0415  0.115  0.1
-0.0415  0.125  0.09
-0.0415  0.135  0.09
-0.0415  0.145  0.07
-0.0415  0.155  0.08
-0.0415  0.165  0.07
-0.0415  0.175  0.06
-0.0415  0.185  0.05
-0.0415  0.195  0.04
-0.0415  0.205  0.05
-0.0415  0.215  0.06
-0.0415  0.225  0.02
-0.0415  0.235  0.05
-0.0415  0.245  0.03
-0.0415  0.255  0.03
-0.0415  0.265  0.03
-0.0415  0.275  0.01
-0.0415  0.285  0.0
-0.0415  0.295  0.02
-0.0415  0.305  0.0
-0.0415  0.315  0.03
-0.0415  0.325  0.01
-0.0415  0.335  0.01
-0.0415  0.345  0.01
-0.0415  0.355  0.01
-0.0415  0.365  0.01
-0.0415  0.375  0.01
-0.0415  0.385  0.0
-0.0415  0.395  0.0
-0.0345  0.075  0.16
-0.0345  0.085  0.15
-0.0345  0.095  0.17
-0.0345  0.105  0.14
-0.0345  0.115  0.13
-0.0345  0.125  0.09
-0.0345  0.135  0.1
-0.0345  0.145  0.12
-0.0345  0.155  0.09
-0.0345  0.165  0.07
-0.0345  0.175  0.09
-0.0345  0.185  0.09
-0.0345  0.195  0.08
-0.0345  0.205  0.08
-0.0345  0.215  0.04
-0.0345  0.225  0.04
-0.0345  0.235  0.03
-0.0345  0.245  0.03
-0.0345  0.255  0.05
-0.0345  0.265  0.04
-0.0345  0.275  0.06
-0.0345  0.285  0.05
-0.0345  0.295  0.05
-0.0345  0.305  0.03
-0.0345  0.315  0.04
-0.0345  0.325  0.01
-0.0345  0.335  0.01
-0.0345  0.345  0.02
-0.0345  0.365  0.01
-0.0345  0.385  0.0
-0.0345  0.395  0.02
-0.0275  0.055  0.23
-0.0275  0.065  0.23
-0.0275  0.075  0.22
-0.0275  0.085  0.14
-0.0275  0.095  0.2
-0.0275  0.105  0.2
-0.0275  0.115  0.12
-0.0275  0.125  0.12
-0.0275  0.135  0.1
-0.0275  0.145  0.08
-0.0275  0.155  0.12
-0.0275  0.165  0.1
-0.0275  0.175  0.09
-0.0275  0.185  0.13
-0.0275  0.195  0.06
-0.0275  0.205  0.05
-0.0275  0.215  0.07
-0.0275  0.225  0.04
-0.0275  0.235  0.06
-0.0275  0.245  0.04
-0.0275  0.255  0.05
-0.0275  0.265  0.06
-0.0275  0.275  0.05
-0.0275  0.285  0.03
-0.0275  0.295  0.04
-0.0275  0.305  0.04
-0.0275  0.315  0.03
-0.0275  0.325  0.01
-0.0275  0.335  0.03
-0.0275  0.345  0.01
-0.0275  0.355  0.01
-0.0275  0.365  0.01
-0.0275  0.375  0.0
-0.0275  0.385  0.01
-0.0275  0.395  0.0
-0.0205  0.045  0.31
-0.0205  0.055  0.28
-0.0205  0.065  0.22
-0.0205  0.075  0.22
-0.0205  0.085  0.17
-0.0205  0.095  0.16
-0.0205  0.105  0.19
-0.0205  0.115  0.19
-0.0205  0.125  0.14
-0.0205  0.135  0.16
-0.0205  0.145  0.16
-0.0205  0.155  0.14
-0.0205  0.165  0.1
-0.0205  0.175  0.09
-0.0205  0.185  0.09
-0.0205  0.195  0.1
-0.0205  0.205  0.09
-0.0205  0.215  0.08
-0.0205  0.225  0.07
-0.0205  0.235  0.03
-0.0205  0.245  0.06
-0.0205  0.255  0.02
-0.0205  0.265  0.06
-0.0205  0.275  0.05
-0.0205  0.285  0.03
-0.0205  0.295  0.04
-0.0205  0.305  0.03
-0.0205  0.315  0.03
-0.0205  0.325  0.01
-0.0205  0.335  0.04
-0.0205  0.345  0.03
-0.0205  0.355  0.04
-0.0205  0.365  0.01
-0.0205  0.375  0.0
-0.0205  0.385  0.0
-0.0205  0.395  0.02
-0.0135  0.035  0.34
-0.0135  0.045  0.29
-0.0135  0.055  0.31
-0.0135  0.065  0.3
-0.0135  0.075  0.3
-0.0135  0.085  0.22
-0.0135  0.095  0.22
-0.0135  0.105  0.25
-0.0135  0.115  0.2
-0.0135  0.125  0.17
-0.0135  0.135  0.17
-0.0135  0.145  0.19
-0.0135  0.155  0.14
-0.0135  0.165  0.08
-0.0135  0.175  0.14
-0.0135  0.185  0.12
-0.0135  0.195  0.11
-0.0135  0.205  0.09
-0.0135  0.215  0.06
-0.0135  0.225  0.08
-0.0135  0.235  0.07
-0.0135  0.245  0.08
-0.0135  0.255  0.07
-0.0135  0.265  0.06
-0.0135  0.275  0.02
-0.0135  0.285  0.04
-0.0135  0.295  0.05
-0.0135  0.305  0.03
-0.0135  0.315  0.03
-0.0135  0.325  0.02
-0.0135  0.335  0.01
-0.0135  0.345  0.0
-0.0135  0.355  0.0
-0.0135  0.365  0.01
-0.0135  0.375  0.01
-0.0135  0.385  0.0
-0.0135  0.395  0.01
-0.0065  0.015  0.49
-0.0065  0.025  0.47
-0.0065  0.035  0.34
-0.0065  0.045  0.36
-0.0065  0.055  0.4
-0.0065  0.065  0.35
-0.0065  0.075  0.27
-0.0065  0.085  0.27
-0.0065  0.095  0.23
-0.0065  0.105  0.34
-0.0065  0.115  0.23
-0.0065  0.125  0.19
-0.0065  0.135  0.16
-0.0065  0.145  0.19
-0.0065  0.155  0.14
-0.0065  0.165  0.14
-0.0065  0.175  0.16
-0.0065  0.185  0.14
-0.0065  0.195  0.09
-0.0065  0.205  0.05
-0.0065  0.215  0.09
-0.0065  0.225  0.09
-0.0065  0.235  0.06
-0.0065  0.245  0.09
-0.0065  0.255  0.06
-0.0065  0.265  0.06
-0.0065  0.275  0.03
-0.0065  0.285  0.04
-0.0065  0.295  0.03
-0.0065  0.305  0.05
-0.0065  0.315  0.05
-0.0065  0.325  0.02
-0.0065  0.335  0.03
-0.0065  0.345  0.02
-0.0065  0.355  0.02
-0.0065  0.365  0.02
-0.0065  0.375  0.01
-0.0065  0.385  0.02
-0.0065  0.395  0.0
0.0005  0.005  0.63
0.0005  0.015  0.63
0.0005  0.025  0.55
0.0005  0.035  0.61
0.0005  0.045  0.47
0.0005  0.055  0.54
0.0005  0.065  0.41
0.0005  0.075  0.39
0.0005  0.085  0.35
0.0005  0.095  0.32
0.0005  0.105  0.32
0.0005  0.115  0.28
0.0005  0.125  0.25
0.0005  0.135  0.25
0.0005  0.145  0.2
0.0005  0.155  0.19
0.0005  0.165  0.16
0.0005  0.175  0.14
0.0005  0.185  0.16
0.0005  0.195  0.14
0.0005  0.205  0.1
0.0005  0.215  0.08
0.0005  0.225  0.1
0.0005  0.235  0.1
0.0005  0.245  0.1
0.0005  0.255  0.08
0.0005  0.265  0.11
0.0005  0.275  0.09
0.0005  0.285  0.05
0.0005  0.295  0.03
0.0005  0.305  0.04
0.0005  0.315  0.03
0.0005  0.325  0.03
0.0005  0.335  0.03
0.0005  0.345  0.04
0.0005  0.355  0.03
0.0005  0.365  0.04
0.0005  0.375  0.0
0.0005  0.385  0.01
0.0005  0.395  0.01
0.0075  0.025  0.81
0.0075  0.035  0.72
0.0075  0.045  0.66
0.0075  0.055  0.57
0.0075  0.065  0.51
0.0075  0.075  0.53
0.0075  0.085  0.51
0.0075  0.095  0.35
0.0075  0.105  0.37
0.0075  0.115  0.31
0.0075  0.125  0.32
0.0075  0.135  0.31
0.0075  0.145  0.24
0.0075  0.155  0.26
0.0075  0.165  0.25
0.0075  0.175  0.13
0.0075  0.185  0.21
0.0075  0.195  0.14
0.0075  0.205  0.18
0.0075  0.215  0.1
0.0075  0.225  0.14
0.0075  0.235  0.08
0.0075  0.245  0.09
0.0075  0.255  0.05
0.0075  0.265  0.08
0.0075  0.275  0.06
0.0075  0.285  0.06
0.0075  0.295  0.04
0.0075  0.305  0.06
0.0075  0.315  0.05
0.0075  0.325  0.05
0.0075  0.335  0.01
0.0075  0.345  0.03
0.0075  0.355  0.02
0.0075  0.365  0.03
0.0075  0.375  0.04
0.0075  0.385  0.01
0.0145  0.035  0.88
0.0145  0.045  0.77
0.0145  0.055  0.73
0.0145  0.065  0.68
0.0145  0.075  0.56
0.0145  0.085  0.51
0.0145  0.095  0.51
0.0145  0.105  0.44
0.0145  0.115  0.38
0.0145  0.125  0.42
0.0145  0.135  0.29
0.0145  0.145  0.28
0.0145  0.155  0.27
0.0145  0.165  0.23
0.0145  0.175  0.25
0.0145  0.185  0.19
0.0145  0.195  0.16
0.0145  0.205  0.14
0.0145  0.215  0.1
0.0145  0.225  0.14
0.0145  0.235  0.09
0.0145  0.245  0.11
0.0145  0.255  0.08
0.0145  0.265  0.05
0.0145  0.275  0.08
0.0145  0.285  0.05
0.0145  0.295  0.05
0.0145  0.305  0.05
0.0145  0.315  0.04
0.0145  0.325  0.05
0.0145  0.335  0.03
0.0145  0.345  0.01
0.0145  0.355  0.02
0.0145  0.365  0.04
0.0145  0.375  0.04
0.0145  0.385  0.01
0.0145  0.395  0.03
0.0215  0.045  0.91
0.0215  0.055  0.8
0.0215  0.065  0.74
0.0215  0.075  0.65
0.0215  0.085  0.57
0.0215  0.095  0.49
0.0215  0.105  0.49
0.0215  0.115  0.46
0.0215  0.125  0.46
0.0215  0.135  0.41
0.0215  0.145  0.29
0.0215  0.155  0.21
0.0215  0.165  0.29
0.0215  0.175  0.23
0.0215  0.185  0.2
0.0215  0.195  0.25
0.0215  0.205  0.14
0.0215  0.215  0.12
0.0215  0.225  0.09
0.0215  0.235  0.17
0.0215  0.245  0.07
0.0215  0.255  0.08
0.0215  0.265  0.08
0.0215  0.275  0.08
0.0215  0.285  0.04
0.0215  0.295  0.06
0.0215  0.305  0.05
0.0215  0.315  0.08
0.0215  0.325  0.04
0.0215  0.335  0.05
0.0215  0.345  0.04
0.0215  0.355  0.02
0.0215  0.365  0.03
0.0215  0.375  0.02
0.0215  0.385  0.02
0.0215  0.395  0.01
0.0285  0.065  0.85
0.0285  0.075  0.72
0.0285  0.085  0.63
0.0285  0.095  0.62
0.0285  0.105  0.51
0.0285  0.115  0.49
0.0285  0.125  0.47
0.0285  0.135  0.35
0.0285  0.145  0.32
0.0285  0.155  0.34
0.0285  0.165  0.31
0.0285  0.175  0.26
0.0285  0.185  0.19
0.0285  0.195  0.22
0.0285  0.205  0.22
0.0285  0.215  0.09
0.0285  0.225  0.1
0.0285  0.235  0.12
0.0285  0.245  0.12
0.0285  0.255  0.11
0.0285  0.265  0.1
0.0285  0.275  0.09
0.0285  0.285  0.08
0.0285  0.295  0.13
0.0285  0.305  0.04
0.0285  0.315  0.03
0.0285  0.325  0.05
0.0285  0.335  0.04
0.0285  0.345  0.04
0.0285  0.355  0.04
0.0285  0.365  0.04
0.0285  0.375  0.02
0.0285  0.385  0.01
0.0285  0.395  0.01
0.0355  0.075  0.81
0.0355  0.085  0.7
0.0355  0.095  0.64
0.0355  0.105  0.58
0.0355  0.115  0.49
0.0355  0.125  0.48
0.0355  0.135  0.41
0.0355  0.145  0.36
0.0355  0.155  0.38
0.0355  0.165  0.29
0.0355  0.175  0.25
0.0355  0.185  0.2
0.0355  0.195  0.25
0.0355  0.205  0.19
0.0355  0.215  0.19
0.0355  0.225  0.16
0.0355  0.235  0.14
0.0355  0.245  0.14
0.0355  0.255  0.09
0.0355  0.265  0.09
0.0355  0.275  0.1
0.0355  0.285  0.08
0.0355  0.295  0.06
0.0355  0.305  0.04
0.0355  0.315  0.08
0.0355  0.325  0.04
0.0355  0.335  0.01
0.0355  0.345  0.05
0.0355  0.355  0.03
0.0355  0.365  0.04
0.0355  0.375  0.01
0.0355  0.385  0.0
0.0425  0.095  0.7
0.0425  0.105  0.63
0.0425  0.115  0.51
0.0425  0.125  0.52
0.0425  0.135  0.51
0.0425  0.145  0.41
0.0425  0.155  0.32
0.0425  0.165  0.31
0.0425  0.175  0.28
0.0425  0.185  0.3
0.0425  0.195  0.22
